Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,year,month,week_of_year,sales_lag_1,sales_lag_4,sales_lag_52,sales_rolling_mean_4
2010-02-05,1643690.9,42.31,2.572,211.0963582,8.106,False,2010,2,5,1643690.9,1643690.9,1643690.9,1576836.025
2010-02-12,1641957.44,38.51,2.548,211.2421698,8.106,True,2010,2,6,1643690.9,1643690.9,1643690.9,1576836.025
2010-02-19,1611968.17,39.93,2.514,211.2891429,8.106,False,2010,2,7,1641957.44,1643690.9,1643690.9,1576836.025
2010-02-26,1409727.59,46.63,2.561,211.3196429,8.106,False,2010,2,8,1611968.17,1643690.9,1643690.9,1576836.025
2010-03-05,1554806.68,46.5,2.625,211.3501429,8.106,False,2010,3,9,1409727.59,1643690.9,1643690.9,1576836.025
2010-03-12,1439541.59,57.79,2.667,211.3806429,8.106,False,2010,3,10,1554806.68,1641957.44,1643690.9,1554614.9699999997
2010-03-19,1472515.79,54.58,2.72,211.215635,8.106,False,2010,3,11,1439541.59,1611968.17,1643690.9,1504011.0075
2010-03-26,1404429.92,51.45,2.732,211.0180424,8.106,False,2010,3,12,1472515.79,1409727.59,1643690.9,1469147.9125
2010-04-02,1594968.28,62.27000000000001,2.719,210.8204499,7.807999999999999,False,2010,4,13,1404429.92,1554806.68,1643690.9,1467823.495
2010-04-09,1545418.53,65.86,2.77,210.6228574,7.808000000000001,False,2010,4,14,1594968.28,1439541.59,1643690.9,1477863.895
2010-04-16,1466058.28,66.32,2.808,210.4887,7.808000000000001,False,2010,4,15,1545418.53,1472515.79,1643690.9,1504333.13
2010-04-23,1391256.12,64.84,2.795,210.4391228,7.807999999999999,False,2010,4,16,1466058.28,1404429.92,1643690.9,1502718.7525
2010-04-30,1425100.71,67.41,2.78,210.3895456,7.807999999999999,False,2010,4,17,1391256.12,1594968.28,1643690.9,1499425.3025
2010-05-07,1603955.1199999999,72.55,2.835,210.3399684,7.807999999999999,False,2010,5,18,1425100.71,1545418.53,1643690.9,1456958.41
2010-05-14,1494251.5,74.78,2.854,210.3374261,7.807999999999999,False,2010,5,19,1603955.1199999999,1466058.28,1643690.9,1471592.5575
2010-05-21,1399662.07,76.44,2.826,210.6170934,7.807999999999999,False,2010,5,20,1494251.5,1391256.12,1643690.9,1478640.8625
2010-05-28,1432069.95,80.44,2.759,210.8967606,7.807999999999999,False,2010,5,21,1399662.07,1425100.71,1643690.9,1480742.35
2010-06-04,1615524.71,80.69,2.705,211.1764278,7.807999999999999,False,2010,6,22,1432069.95,1603955.1199999999,1643690.9,1482484.66
2010-06-11,1542561.09,80.43,2.668,211.4560951,7.807999999999999,False,2010,6,23,1615524.71,1494251.5,1643690.9,1485377.0574999999
2010-06-18,1503284.06,84.11,2.637,211.4537719,7.807999999999999,False,2010,6,24,1542561.09,1399662.07,1643690.9,1497454.455
2010-06-25,1422711.6,84.34,2.653,211.3386526,7.807999999999999,False,2010,6,25,1503284.06,1432069.95,1643690.9,1523359.9525
2010-07-02,1492418.1400000001,80.91,2.669,211.2235333,7.787,False,2010,7,26,1422711.6,1615524.71,1643690.9,1521020.3650000002
2010-07-09,1546074.18,80.48,2.642,211.108414,7.786999999999999,False,2010,7,27,1492418.1400000001,1542561.09,1643690.9,1490243.7225000001
2010-07-16,1448938.92,83.15,2.623,211.1003854,7.787000000000001,False,2010,7,28,1546074.18,1503284.06,1643690.9,1491121.995
2010-07-23,1385065.2,83.36,2.608,211.2351443,7.787,False,2010,7,29,1448938.92,1422711.6,1643690.9,1477535.71
2010-07-30,1371986.6,81.84,2.64,211.3699032,7.787,False,2010,7,30,1385065.2,1492418.1400000001,1643690.9,1468124.11
2010-08-06,1605491.78,87.16,2.627,211.5046621,7.787000000000001,False,2010,8,31,1371986.6,1546074.18,1643690.9,1438016.225
2010-08-13,1508237.76,87.0,2.692,211.6394211,7.786999999999999,False,2010,8,32,1605491.78,1448938.92,1643690.9,1452870.625
2010-08-20,1513080.49,86.65,2.664,211.6033633,7.787,False,2010,8,33,1508237.76,1385065.2,1643690.9,1467695.335
2010-08-27,1449142.92,85.22,2.619,211.5673056,7.787000000000001,False,2010,8,34,1513080.49,1371986.6,1643690.9,1499699.1575
2010-09-03,1540163.53,81.21,2.577,211.5312479,7.787,False,2010,9,35,1449142.92,1605491.78,1643690.9,1518988.2374999998
2010-09-10,1507460.69,78.69,2.565,211.4951902,7.787,True,2010,9,36,1540163.53,1508237.76,1643690.9,1502656.175
2010-09-17,1430378.67,82.11,2.582,211.5224596,7.787,False,2010,9,37,1507460.69,1513080.49,1643690.9,1502461.9074999997
2010-09-24,1351791.03,80.94,2.624,211.5972246,7.786999999999999,False,2010,9,38,1430378.67,1449142.92,1643690.9,1481786.4525000001
2010-10-01,1453329.5,71.89,2.603,211.6719895,7.838,False,2010,10,39,1351791.03,1540163.53,1643690.9,1457448.48
2010-10-08,1508239.93,63.93000000000001,2.633,211.7467544,7.838,False,2010,10,40,1453329.5,1507460.69,1643690.9,1435739.9725
2010-10-15,1459409.1,67.18,2.72,211.8137436,7.838,False,2010,10,41,1508239.93,1430378.67,1643690.9,1435934.7824999997
2010-10-22,1345454.0,69.86,2.725,211.8612937,7.838,False,2010,10,42,1459409.1,1351791.03,1643690.9,1443192.39
2010-10-29,1384209.22,69.64,2.716,211.9088438,7.838,False,2010,10,43,1345454.0,1453329.5,1643690.9,1441608.1325
2010-11-05,1551659.28,58.739999999999995,2.689,211.9563939,7.838,False,2010,11,44,1384209.22,1508239.93,1643690.9,1424328.0625
2010-11-12,1494479.49,59.61,2.728,212.003944,7.838,False,2010,11,45,1551659.28,1459409.1,1643690.9,1435182.9
2010-11-19,1483784.18,51.41,2.771,211.8896737,7.838,False,2010,11,46,1494479.49,1345454.0,1643690.9,1443950.4975
2010-11-26,1955624.11,64.52,2.735,211.7484333,7.838,True,2010,11,47,1483784.18,1384209.22,1643690.9,1478533.0425
2010-12-03,1548033.78,49.27,2.708,211.607193,7.838000000000001,False,2010,12,48,1955624.11,1551659.28,1643690.9,1621386.765
2010-12-10,1682614.26,46.33,2.843,211.4659526,7.838000000000001,False,2010,12,49,1548033.78,1494479.49,1643690.9,1620480.39
2010-12-17,1891034.93,49.84,2.869,211.4053124,7.838,False,2010,12,50,1682614.26,1483784.18,1643690.9,1667514.0825
2010-12-24,2387950.2,52.33,2.886,211.4051222,7.838,False,2010,12,51,1891034.93,1955624.11,1643690.9,1769326.77
2010-12-31,1367320.01,48.43,2.943,211.4049321,7.838000000000001,True,2010,12,52,2387950.2,1548033.78,1643690.9,1877408.2925
2011-01-07,1444732.28,48.27,2.976,211.4047419,7.742,False,2011,1,1,1367320.01,1682614.26,1643690.9,1832229.85
2011-01-14,1391013.96,35.4,2.983,211.4574109,7.742,False,2011,1,2,1444732.28,1891034.93,1643690.9,1772759.355
2011-01-21,1327405.42,44.04,3.016,211.8272343,7.742,False,2011,1,3,1391013.96,2387950.2,1643690.9,1647754.1125000003
2011-01-28,1316899.31,43.83,3.01,212.1970577,7.742,False,2011,1,4,1327405.42,1367320.01,1643690.9,1382617.9175
2011-02-04,1606629.58,42.27,2.989,212.5668812,7.742,False,2011,2,5,1316899.31,1444732.28,1643690.9,1370012.7425
2011-02-11,1649614.93,36.39,3.022,212.9367046,7.742,True,2011,2,6,1606629.58,1391013.96,1641957.44,1410487.0675
2011-02-18,1686842.78,57.36,3.045,213.2478853,7.742,False,2011,2,7,1649614.93,1327405.42,1611968.17,1475137.31
2011-02-25,1456800.28,62.900000000000006,3.065,213.535609,7.742,False,2011,2,8,1686842.78,1316899.31,1409727.59,1564996.65
2011-03-04,1636263.41,59.580000000000005,3.288,213.8233327,7.742000000000001,False,2011,3,9,1456800.28,1606629.58,1554806.68,1599971.8924999998
2011-03-11,1553191.63,53.56,3.459,214.1110564,7.742,False,2011,3,10,1636263.41,1649614.93,1439541.59,1607380.35
2011-03-18,1576818.06,62.760000000000005,3.488,214.3627114,7.742,False,2011,3,11,1553191.63,1686842.78,1472515.79,1583274.525
2011-03-25,1541102.3800000001,69.97,3.473,214.5999389,7.742,False,2011,3,12,1576818.06,1456800.28,1404429.92,1555768.3450000002
2011-04-01,1495064.75,59.169999999999995,3.524,214.8371664,7.682,False,2011,4,13,1541102.3800000001,1636263.41,1594968.28,1576843.87
2011-04-08,1614259.35,67.84,3.622,215.0743939,7.682,False,2011,4,14,1495064.75,1553191.63,1545418.53,1541544.205
2011-04-15,1559889.0,71.27,3.743,215.2918561,7.682,False,2011,4,15,1614259.35,1576818.06,1466058.28,1556811.135
2011-04-22,1564819.81,72.99,3.807,215.4599053,7.682,False,2011,4,16,1559889.0,1541102.3800000001,1391256.12,1552578.87
2011-04-29,1455090.69,72.03,3.81,215.6279544,7.682,False,2011,4,17,1564819.81,1495064.75,1425100.71,1558508.2275
2011-05-06,1629391.28,64.61,3.906,215.7960035,7.682,False,2011,5,18,1455090.69,1614259.35,1603955.1199999999,1548514.7125
2011-05-13,1604775.58,75.64,3.899,215.9640526,7.682,False,2011,5,19,1629391.28,1559889.0,1494251.5,1552297.695
2011-05-20,1428218.27,67.63,3.9069999999999996,215.7339202,7.682,False,2011,5,20,1604775.58,1564819.81,1399662.07,1563519.34
2011-05-27,1466046.67,77.72,3.7859999999999996,215.5037878,7.682,False,2011,5,21,1428218.27,1455090.69,1432069.95,1529368.955
2011-06-03,1635078.41,83.0,3.6990000000000003,215.2736553,7.682,False,2011,6,22,1466046.67,1629391.28,1615524.71,1532107.9500000002
2011-06-10,1588948.32,83.13,3.6479999999999997,215.0435229,7.682,False,2011,6,23,1635078.41,1604775.58,1542561.09,1533529.7325
2011-06-17,1532114.86,86.41,3.6369999999999996,214.9980596,7.682,False,2011,6,24,1588948.32,1428218.27,1503284.06,1529572.9175
2011-06-24,1438830.15,83.58,3.594,215.0910982,7.682,False,2011,6,25,1532114.86,1466046.67,1422711.6,1555547.0650000002
2011-07-01,1488538.09,85.55,3.524,215.1841368,7.961999999999999,False,2011,7,26,1438830.15,1635078.41,1492418.1400000001,1548742.9349999998
2011-07-08,1534849.64,85.83,3.48,215.2771754,7.962000000000001,False,2011,7,27,1488538.09,1588948.32,1546074.18,1512107.855
2011-07-15,1455119.97,88.54,3.575,215.3611087,7.962000000000001,False,2011,7,28,1534849.64,1532114.86,1448938.92,1498583.185
2011-07-22,1396926.82,85.77,3.651,215.4222784,7.961999999999999,False,2011,7,29,1455119.97,1438830.15,1385065.2,1479334.4625
2011-07-29,1352219.79,86.83,3.682,215.4834482,7.961999999999999,False,2011,7,30,1396926.82,1488538.09,1371986.6,1468858.6300000001
2011-08-05,1624383.75,91.65,3.684,215.544618,7.962000000000001,False,2011,8,31,1352219.79,1534849.64,1605491.78,1434779.055
2011-08-12,1525147.09,90.76,3.638,215.6057878,7.962000000000001,False,2011,8,32,1624383.75,1455119.97,1508237.76,1457162.5825
2011-08-19,1530761.43,89.94,3.554,215.6693107,7.962,False,2011,8,33,1525147.09,1396926.82,1513080.49,1474669.3625
2011-08-26,1464693.46,87.96,3.523,215.7332258,7.962,False,2011,8,34,1530761.43,1352219.79,1449142.92,1508128.015
2011-09-02,1550229.22,87.83,3.533,215.7971409,7.962,False,2011,9,35,1464693.46,1624383.75,1540163.53,1536246.4324999999
2011-09-09,1540471.24,76.0,3.546,215.861056,7.962,True,2011,9,36,1550229.22,1525147.09,1507460.69,1517707.7999999998
2011-09-16,1514259.78,79.94,3.526,216.0410526,7.962000000000001,False,2011,9,37,1540471.24,1530761.43,1430378.67,1521538.8375
2011-09-23,1380020.27,75.8,3.467,216.3758246,7.962,False,2011,9,38,1514259.78,1464693.46,1351791.03,1517413.425
2011-09-30,1394561.83,79.69,3.355,216.7105965,7.962,False,2011,9,39,1380020.27,1550229.22,1453329.5,1496245.1275
2011-10-07,1630989.95,69.31,3.285,217.0453684,7.866,False,2011,10,40,1394561.83,1540471.24,1508239.93,1457328.2799999998
2011-10-14,1493525.93,71.74,3.274,217.3552733,7.866,False,2011,10,41,1630989.95,1514259.78,1459409.1,1479957.9575
2011-10-21,1502562.78,63.71,3.353,217.5159762,7.866,False,2011,10,42,1493525.93,1380020.27,1345454.0,1474774.495
2011-10-28,1445249.09,66.57,3.372,217.6766791,7.866,False,2011,10,43,1502562.78,1394561.83,1384209.22,1505410.1225
2011-11-04,1697229.58,54.98,3.332,217.837382,7.866,False,2011,11,44,1445249.09,1630989.95,1551659.28,1518081.9375
2011-11-11,1594938.8900000001,59.11,3.297,217.9980849,7.866,False,2011,11,45,1697229.58,1493525.93,1494479.49,1534641.8450000002
2011-11-18,1539483.7,62.25,3.308,218.2205088,7.866,False,2011,11,46,1594938.8900000001,1502562.78,1483784.18,1559995.0850000002
2011-11-25,2033320.66,60.14,3.236,218.4676211,7.866,True,2011,11,47,1539483.7,1445249.09,1955624.11,1569225.3150000002
2011-12-02,1584083.95,48.91,3.172,218.7147333,7.866,False,2011,12,48,2033320.66,1697229.58,1548033.78,1716243.2075
2011-12-09,1799682.38,43.93,3.158,218.9618456,7.866,False,2011,12,49,1584083.95,1594938.8900000001,1682614.26,1687956.7999999998
2011-12-16,1881176.67,51.63,3.159,219.1794533,7.866,False,2011,12,50,1799682.38,1539483.7,1891034.93,1739142.6724999999
2011-12-23,2270188.99,47.96,3.112,219.3577216,7.866,False,2011,12,51,1881176.67,2033320.66,2387950.2,1824565.9149999998
2011-12-30,1497462.72,44.55,3.129,219.5359898,7.866,True,2011,12,52,2270188.99,1584083.95,1367320.01,1883782.9975
2012-01-06,1550369.92,49.01,3.157,219.7142581,7.348000000000001,False,2012,1,1,1497462.72,1799682.38,1444732.28,1862127.69
2012-01-13,1459601.17,48.53,3.261,219.8925263,7.348,False,2012,1,2,1550369.92,1881176.67,1391013.96,1799799.575
2012-01-20,1394393.84,54.11,3.268,219.9856893,7.348,False,2012,1,3,1459601.17,2270188.99,1327405.42,1694405.7
2012-01-27,1319325.59,54.26,3.29,220.0788523,7.348,False,2012,1,4,1394393.84,1497462.72,1316899.31,1475456.9125
2012-02-03,1636339.65,56.55,3.36,220.1720153,7.348000000000001,False,2012,2,5,1319325.59,1550369.92,1606629.58,1430922.6300000001
2012-02-10,1802477.43,48.02,3.409,220.2651783,7.348,True,2012,2,6,1636339.65,1459601.17,1649614.93,1452415.0625
2012-02-17,1819870.0,45.32,3.5099999999999993,220.4257586,7.348,False,2012,2,7,1802477.43,1394393.84,1686842.78,1538134.1275
2012-02-24,1539387.83,57.25,3.555,220.636902,7.348000000000001,False,2012,2,8,1819870.0,1319325.59,1456800.28,1644503.1675
2012-03-02,1688420.76,60.96,3.6300000000000003,220.8480454,7.348000000000001,False,2012,3,9,1539387.83,1636339.65,1636263.41,1699518.7275
2012-03-09,1675431.16,58.76,3.6690000000000005,221.0591887,7.348,False,2012,3,10,1688420.76,1802477.43,1553191.63,1712539.0050000001
2012-03-16,1677472.78,64.74,3.734,221.2118132,7.348000000000001,False,2012,3,11,1675431.16,1819870.0,1576818.06,1680777.4375
2012-03-23,1511068.07,65.93,3.787,221.2864126,7.348,False,2012,3,12,1677472.78,1539387.83,1541102.3800000001,1645178.1324999998
2012-03-30,1649604.63,67.61,3.845,221.3610119,7.348,False,2012,3,13,1511068.07,1688420.76,1495064.75,1638098.1925
2012-04-06,1899676.8800000001,70.43,3.891,221.4356112,7.142999999999999,False,2012,4,14,1649604.63,1675431.16,1614259.35,1628394.16
2012-04-13,1621031.7,69.07,3.8910000000000005,221.5102105,7.143,False,2012,4,15,1899676.8800000001,1677472.78,1559889.0,1684455.59
2012-04-20,1521577.8699999999,66.76,3.877,221.5640737,7.143,False,2012,4,16,1621031.7,1511068.07,1564819.81,1670345.32
2012-04-27,1468928.3699999999,67.23,3.8139999999999996,221.6179368,7.143,False,2012,4,17,1521577.8699999999,1649604.63,1455090.69,1672972.77
2012-05-04,1684519.99,75.55,3.7490000000000006,221.6718,7.143,False,2012,5,18,1468928.3699999999,1899676.8800000001,1629391.28,1627803.705
2012-05-11,1611096.05,73.77,3.688,221.7256632,7.143,False,2012,5,19,1684519.99,1621031.7,1604775.58,1574014.4825
2012-05-18,1595901.87,70.33,3.63,221.742674,7.143,False,2012,5,20,1611096.05,1521577.8699999999,1428218.27,1571530.5699999998
2012-05-25,1555444.55,77.22,3.561,221.744944,7.143,False,2012,5,21,1595901.87,1468928.3699999999,1466046.67,1590111.5699999998
2012-06-01,1624477.58,77.95,3.501,221.7472139,7.143,False,2012,6,22,1555444.55,1684519.99,1635078.41,1611740.6150000002
2012-06-08,1697230.96,78.3,3.452,221.7494839,7.142999999999999,False,2012,6,23,1624477.58,1611096.05,1588948.32,1596730.0125000002
2012-06-15,1630607.0,79.35,3.393,221.7626421,7.143,False,2012,6,24,1697230.96,1595901.87,1532114.86,1618263.74
2012-06-22,1527845.81,78.39,3.346,221.8030211,7.143,False,2012,6,25,1630607.0,1555444.55,1438830.15,1626940.0225
2012-06-29,1540421.49,84.88,3.286,221.8434,7.143,False,2012,6,26,1527845.81,1624477.58,1488538.09,1620040.3375
2012-07-06,1769854.16,81.57,3.227,221.8837789,6.908,False,2012,7,27,1540421.49,1697230.96,1534849.64,1599026.315
2012-07-13,1527014.04,77.12,3.256,221.9241579,6.908,False,2012,7,28,1769854.16,1630607.0,1455119.97,1617182.115
2012-07-20,1497954.76,80.42,3.311,221.9327267,6.908,False,2012,7,29,1527014.04,1527845.81,1396926.82,1591283.875
2012-07-27,1439123.71,82.66,3.407,221.9412954,6.908,False,2012,7,30,1497954.76,1540421.49,1352219.79,1583811.1125
2012-08-03,1631135.79,86.11,3.417,221.9498642,6.908,False,2012,8,31,1439123.71,1769854.16,1624383.75,1558486.6675
2012-08-10,1592409.97,85.05,3.494,221.9584329,6.908,False,2012,8,32,1631135.79,1527014.04,1525147.09,1523807.075
2012-08-17,1597868.05,84.85,3.571,222.0384109,6.908,False,2012,8,33,1592409.97,1497954.76,1530761.43,1540156.0574999999
2012-08-24,1494122.38,77.66,3.6199999999999997,222.1719457,6.908,False,2012,8,34,1597868.05,1439123.71,1464693.46,1565134.38
2012-08-31,1582083.4,80.49,3.638,222.3054805,6.908,False,2012,8,35,1494122.38,1631135.79,1550229.22,1578884.0474999999
2012-09-07,1661767.33,83.96,3.7300000000000004,222.4390153,6.908,True,2012,9,36,1582083.4,1592409.97,1540471.24,1566620.95
2012-09-14,1517428.87,74.97,3.7170000000000005,222.5820193,6.908,False,2012,9,37,1661767.33,1597868.05,1514259.78,1583960.29
2012-09-21,1506126.06,69.87,3.7210000000000005,222.7818386,6.908,False,2012,9,38,1517428.87,1494122.38,1380020.27,1563850.4949999999
2012-09-28,1437059.26,76.08,3.666,222.9816579,6.908,False,2012,9,39,1506126.06,1582083.4,1394561.83,1566851.415
2012-10-05,1670785.97,68.55,3.6169999999999995,223.1814772,6.573,False,2012,10,40,1437059.26,1661767.33,1630989.95,1530595.3800000001
2012-10-12,1573072.81,62.99000000000001,3.601,223.3812965,6.573,False,2012,10,41,1670785.97,1517428.87,1493525.93,1532850.04
2012-10-19,1508068.77,67.97,3.594,223.4257233,6.573,False,2012,10,42,1573072.81,1506126.06,1502562.78,1546761.025
2012-10-26,1493659.74,69.16,3.506,223.4442513,6.573,False,2012,10,43,1508068.77,1437059.26,1445249.09,1547246.7025
